professor_id,name,lastname,birthday,nationality,gender,email,status,entrance_date,retirement_date
,Jessica,Johnson,2016-09-03,Bhutan,F,igoodwin@example.com,,2021-06-18,
,Jermaine,Pruitt,2001-01-28,Georgia,M,nancyholt@example.org,,2020-11-28,
,Ann,Hunter,2018-05-09,Senegal,M,fischerjonathan@example.org,,2021-05-16,2023-09-09
,Elaine,Santos,2022-10-12,Haiti,M,millerjesse@example.com,,2021-09-25,
,Sara,Williams,2018-10-17,El Salvador,M,llittle@example.org,,2021-12-05,2023-01-30
,Teresa,Moore,2006-06-09,Vietnam,M,kboyer@example.org,,2020-10-10,
,Danielle,Holland,2004-10-28,Azerbaijan,M,fmills@example.net,,2022-01-27,
,Andrew,Brown,2021-08-21,Northern Mariana Islands,M,jessicafrost@example.com,,2020-09-05,2023-05-16
,Jason,Kirby,2002-07-06,Burundi,M,victorperez@example.com,,2022-08-01,2022-09-06
,Stacy,Coleman,2010-03-06,Brazil,F,keithjohnson@example.com,,2020-07-11,
