student_id,name,lastname,birthday,nationality,gender,country,city,email
,James,Barrett,2010-02-03,Nauru,F,Nauru,West Sheenaview,omitchell@example.com
,Thomas,Zimmerman,2001-03-14,Bolivia,F,Bolivia,Danielletown,qarmstrong@example.com
,Brandy,Johnson,2015-01-27,Paraguay,F,Paraguay,Susanville,hadams@example.org
,Brittany,Martin,2017-06-27,Kenya,F,Kenya,Maytown,angelaramirez@example.org
,Alyssa,Smith,2012-01-20,Venezuela,F,Venezuela,East Matthew,mccallandrew@example.org
,Anthony,Potter,2017-01-21,Colombia,F,Colombia,South Wendyville,rbrooks@example.net
,Darrell,Roy,2007-09-01,Chad,F,Chad,Wadeport,michael94@example.net
,Daniel,Newman,2019-02-08,Djibouti,M,Djibouti,Royland,bmartinez@example.net
,Michael,Anderson,2008-01-10,Bosnia and Herzegovina,M,Bosnia and Herzegovina,East Natasha,kathrynparker@example.com
,Crystal,Hurst,2014-01-08,Denmark,M,Denmark,North Hannah,ojensen@example.org
